region_level,region_sido,region_sigungu,candidate_no,candidate_name,party,votes,vote_share_pct,electorate,voted,turnout_pct
national,,,1,이재명,더불어민주당,17287513,49.4203,44391871,35236497,79.376
national,,,2,김문수,국민의힘,14395639,41.1532,44391871,35236497,79.376
national,,,4,이준석,개혁신당,2917523,8.3404,44391871,35236497,79.376
national,,,5,권영국,민주노동당,344150,0.9838,44391871,35236497,79.376
sido,강원특별자치도,,1,이재명,더불어민주당,449161,43.9585,1327019,1029407,77.5729
sido,강원특별자치도,,2,김문수,국민의힘,483360,47.3055,1327019,1029407,77.5729
sido,강원특별자치도,,4,이준석,개혁신당,78704,7.7026,1327019,1029407,77.5729
sido,강원특별자치도,,5,권영국,민주노동당,9422,0.9221,1327019,1029407,77.5729
sido,경기도,,1,이재명,더불어민주당,4821148,52.2073,11715343,9297448,79.3613
sido,경기도,,2,김문수,국민의힘,3504620,37.9508,11715343,9297448,79.3613
sido,경기도,,4,이준석,개혁신당,816435,8.841,11715343,9297448,79.3613
sido,경기도,,5,권영국,민주노동당,84074,0.9104,11715343,9297448,79.3613
sido,경상남도,,1,이재명,더불어민주당,851733,39.4021,2776028,2179989,78.5291
sido,경상남도,,2,김문수,국민의힘,1123843,51.9902,2776028,2179989,78.5291
sido,경상남도,,4,이준석,개혁신당,161579,7.4748,2776028,2179989,78.5291
sido,경상남도,,5,권영국,민주노동당,21809,1.0089,2776028,2179989,78.5291
sido,경상북도,,1,이재명,더불어민주당,442683,25.529,2213614,1747364,78.9372
sido,경상북도,,2,김문수,국민의힘,1159594,66.8723,2213614,1747364,78.9372
sido,경상북도,,4,이준석,개혁신당,116094,6.695,2213614,1747364,78.9372
sido,경상북도,,5,권영국,민주노동당,13884,0.8007,2213614,1747364,78.9372
sido,광주광역시,,1,이재명,더불어민주당,844682,84.7713,1194471,1002149,83.899
sido,광주광역시,,2,김문수,국민의힘,79937,8.0224,1194471,1002149,83.899
sido,광주광역시,,4,이준석,개혁신당,62104,6.2327,1194471,1002149,83.899
sido,광주광역시,,5,권영국,민주노동당,8767,0.8798,1194471,1002149,83.899
sido,대구광역시,,1,이재명,더불어민주당,379130,23.2266,2049078,1643051,80.1849
sido,대구광역시,,2,김문수,국민의힘,1103913,67.6288,2049078,1643051,80.1849
sido,대구광역시,,4,이준석,개혁신당,135376,8.2935,2049078,1643051,80.1849
sido,대구광역시,,5,권영국,민주노동당,12531,0.7677,2049078,1643051,80.1849
sido,대전광역시,,1,이재명,더불어민주당,470321,48.5063,1241882,977609,78.72
sido,대전광역시,,2,김문수,국민의힘,393549,40.5885,1241882,977609,78.72
sido,대전광역시,,4,이준석,개혁신당,94724,9.7693,1241882,977609,78.72
sido,대전광역시,,5,권영국,민주노동당,9905,1.0215,1241882,977609,78.72
sido,부산광역시,,1,이재명,더불어민주당,895213,40.1403,2865552,2245755,78.3708
sido,부산광역시,,2,김문수,국민의힘,1146238,51.3959,2865552,2245755,78.3708
sido,부산광역시,,4,이준석,개혁신당,168473,7.5541,2865552,2245755,78.3708
sido,부산광역시,,5,권영국,민주노동당,18189,0.8156,2865552,2245755,78.3708
sido,서울특별시,,1,이재명,더불어민주당,3105459,47.1302,8293885,6641606,80.0783
sido,서울특별시,,2,김문수,국민의힘,2738405,41.5596,8293885,6641606,80.0783
sido,서울특별시,,4,이준석,개혁신당,655346,9.9459,8293885,6641606,80.0783
sido,서울특별시,,5,권영국,민주노동당,83900,1.2733,8293885,6641606,80.0783
sido,세종특별자치시,,1,이재명,더불어민주당,140620,55.6283,307067,254695,82.9444
