region_level,region_sido,region_sigungu,sex,age_bucket,electorate,voted,turnout_pct
sido,서울특별시,,전체,합계,806593,646726,80.2
sido,서울특별시,,전체,18,7589,5877,77.4
sido,서울특별시,,전체,19,7618,5935,77.9
sido,서울특별시,,전체,20-24,48918,37701,77.1
sido,서울특별시,,전체,25-29,73672,57051,77.4
sido,서울특별시,,전체,30-34,78309,61128,78.1
sido,서울특별시,,전체,35-39,64138,49570,77.3
sido,서울특별시,,전체,40-49,137172,106308,77.5
sido,서울특별시,,전체,50-59,145074,118290,81.5
sido,서울특별시,,전체,60-69,126856,109498,86.3
sido,서울특별시,,전체,70-79,77383,67905,87.8
sido,서울특별시,,전체,80+,39864,27463,68.9
sido,서울특별시,,남자,합계,385602,305124,79.1
sido,서울특별시,,남자,18,3826,2892,75.6
sido,서울특별시,,남자,19,3782,2897,76.6
sido,서울특별시,,남자,20-24,23169,17250,74.5
sido,서울특별시,,남자,25-29,34689,25241,72.8
sido,서울특별시,,남자,30-34,38836,28765,74.1
sido,서울특별시,,남자,35-39,32005,24079,75.2
sido,서울특별시,,남자,40-49,67468,51392,76.2
sido,서울특별시,,남자,50-59,71691,57876,80.7
sido,서울특별시,,남자,60-69,59939,51560,86.0
sido,서울특별시,,남자,70-79,34583,30929,89.4
sido,서울특별시,,남자,80+,15614,12243,78.4
sido,서울특별시,,여자,합계,420991,341602,81.1
sido,서울특별시,,여자,18,3763,2985,79.3
sido,서울특별시,,여자,19,3836,3038,79.2
sido,서울특별시,,여자,20-24,25749,20451,79.4
sido,서울특별시,,여자,25-29,38983,31810,81.6
sido,서울특별시,,여자,30-34,39473,32363,82.0
sido,서울특별시,,여자,35-39,32133,25491,79.3
sido,서울특별시,,여자,40-49,69704,54916,78.8
sido,서울특별시,,여자,50-59,73383,60414,82.3
sido,서울특별시,,여자,60-69,66917,57938,86.6
sido,서울특별시,,여자,70-79,42800,36976,86.4
sido,서울특별시,,여자,80+,24250,15220,62.8
sigungu,서울특별시,종로구,전체,합계,11543,9135,79.1
sigungu,서울특별시,종로구,전체,18,103,86,83.5
sigungu,서울특별시,종로구,전체,19,123,103,83.7
sigungu,서울특별시,종로구,전체,20-24,900,732,81.3
sigungu,서울특별시,종로구,전체,25-29,1108,866,78.2
sigungu,서울특별시,종로구,전체,30-34,1058,815,77.0
sigungu,서울특별시,종로구,전체,35-39,687,515,75.0
sigungu,서울특별시,종로구,전체,40-49,1610,1217,75.6
sigungu,서울특별시,종로구,전체,50-59,2193,1755,80.0
sigungu,서울특별시,종로구,전체,60-69,1804,1520,84.3
sigungu,서울특별시,종로구,전체,70-79,1169,1006,86.1
sigungu,서울특별시,종로구,전체,80+,788,520,66.0
sigungu,서울특별시,종로구,남자,합계,5471,4247,77.6
sigungu,서울특별시,종로구,남자,18,45,36,80.0
sigungu,서울특별시,종로구,남자,19,64,52,81.3
sigungu,서울특별시,종로구,남자,20-24,408,320,78.4
sigungu,서울특별시,종로구,남자,25-29,555,424,76.4
sigungu,서울특별시,종로구,남자,30-34,510,372,72.9
sigungu,서울특별시,종로구,남자,35-39,345,251,72.8
sigungu,서울특별시,종로구,남자,40-49,793,570,71.9
sigungu,서울특별시,종로구,남자,50-59,1067,838,78.5
sigungu,서울특별시,종로구,남자,60-69,875,722,82.5
