,경제·재분배(정부책임),대북·안보,정치효능감(신뢰/냉소),시장·민영화
CNSRVTV7,0.0267,-0.0335,-0.0026,-0.735
GOVRES1,-0.5318,-0.151,0.0329,0.0478
GOVRES6,-0.693,-0.0856,0.0768,-0.0121
GOVRES7,-0.6059,-0.1579,-0.0534,-0.169
GOVRES8,-0.5139,-0.0258,-0.0423,-0.0467
CNSRVTV1,0.0339,-0.4258,-0.0453,-0.229
CNSRVTV2,-0.1195,-0.6544,0.0164,-0.0632
CNSRVTV3,-0.1725,-0.4369,0.0003,-0.13
CNSRVTV9,-0.127,-0.4206,0.0866,0.1378
CNSRVTV5,-0.1456,-0.1155,-0.0968,-0.3482
POLEFF5,-0.0407,0.0941,-0.586,-0.086
POLEFF6,0.0587,-0.0573,-0.806,-0.0157
