orient,age,cell,n_total,이재명_n,김문수_n,이준석_n,abstain_n,이재명_pct,김문수_pct,이준석_pct,abstain_pct
VP,18-29,C_L3,39,39,0,0,0,100.0,0.0,0.0,0.0
VP,18-29,C_base,39,39,0,0,0,100.0,0.0,0.0,0.0
VP,18-29,C_bns,39,38,1,0,0,97.44,2.56,0.0,0.0
VP,18-29,C_pv,39,39,0,0,0,100.0,0.0,0.0,0.0
VP,18-29,C_full,39,37,1,1,0,94.87,2.56,2.56,0.0
VP,30-39,C_L3,29,29,0,0,0,100.0,0.0,0.0,0.0
VP,30-39,C_base,29,29,0,0,0,100.0,0.0,0.0,0.0
VP,30-39,C_bns,29,29,0,0,0,100.0,0.0,0.0,0.0
VP,30-39,C_pv,29,29,0,0,0,100.0,0.0,0.0,0.0
VP,30-39,C_full,29,29,0,0,0,100.0,0.0,0.0,0.0
VP,40-49,C_L3,49,49,0,0,0,100.0,0.0,0.0,0.0
VP,40-49,C_base,49,49,0,0,0,100.0,0.0,0.0,0.0
VP,40-49,C_bns,49,47,2,0,0,95.92,4.08,0.0,0.0
VP,40-49,C_pv,49,49,0,0,0,100.0,0.0,0.0,0.0
VP,40-49,C_full,49,48,1,0,0,97.96,2.04,0.0,0.0
VP,50-59,C_L3,37,37,0,0,0,100.0,0.0,0.0,0.0
VP,50-59,C_base,37,37,0,0,0,100.0,0.0,0.0,0.0
VP,50-59,C_bns,37,37,0,0,0,100.0,0.0,0.0,0.0
VP,50-59,C_pv,37,37,0,0,0,100.0,0.0,0.0,0.0
VP,50-59,C_full,37,37,0,0,0,100.0,0.0,0.0,0.0
VP,60-69,C_L3,34,34,0,0,0,100.0,0.0,0.0,0.0
VP,60-69,C_base,34,34,0,0,0,100.0,0.0,0.0,0.0
VP,60-69,C_bns,34,32,2,0,0,94.12,5.88,0.0,0.0
VP,60-69,C_pv,34,34,0,0,0,100.0,0.0,0.0,0.0
VP,60-69,C_full,34,33,1,0,0,97.06,2.94,0.0,0.0
VP,70+,C_L3,36,36,0,0,0,100.0,0.0,0.0,0.0
VP,70+,C_base,36,36,0,0,0,100.0,0.0,0.0,0.0
VP,70+,C_bns,36,36,0,0,0,100.0,0.0,0.0,0.0
VP,70+,C_pv,36,36,0,0,0,100.0,0.0,0.0,0.0
VP,70+,C_full,36,36,0,0,0,100.0,0.0,0.0,0.0
P,18-29,C_L3,192,192,0,0,0,100.0,0.0,0.0,0.0
P,18-29,C_base,192,190,0,2,0,98.96,0.0,1.04,0.0
P,18-29,C_bns,192,189,3,0,0,98.44,1.56,0.0,0.0
P,18-29,C_pv,192,188,2,2,0,97.92,1.04,1.04,0.0
P,18-29,C_full,192,190,2,0,0,98.96,1.04,0.0,0.0
P,30-39,C_L3,211,211,0,0,0,100.0,0.0,0.0,0.0
P,30-39,C_base,211,211,0,0,0,100.0,0.0,0.0,0.0
P,30-39,C_bns,211,210,1,0,0,99.53,0.47,0.0,0.0
P,30-39,C_pv,211,210,1,0,0,99.53,0.47,0.0,0.0
P,30-39,C_full,211,208,1,2,0,98.58,0.47,0.95,0.0
P,40-49,C_L3,223,223,0,0,0,100.0,0.0,0.0,0.0
P,40-49,C_base,223,220,1,2,0,98.65,0.45,0.9,0.0
P,40-49,C_bns,223,214,7,2,0,95.96,3.14,0.9,0.0
P,40-49,C_pv,223,221,1,1,0,99.1,0.45,0.45,0.0
P,40-49,C_full,223,219,2,1,1,98.21,0.9,0.45,0.45
P,50-59,C_L3,207,207,0,0,0,100.0,0.0,0.0,0.0
P,50-59,C_base,207,205,2,0,0,99.03,0.97,0.0,0.0
P,50-59,C_bns,207,199,7,1,0,96.14,3.38,0.48,0.0
P,50-59,C_pv,207,207,0,0,0,100.0,0.0,0.0,0.0
P,50-59,C_full,207,201,5,1,0,97.1,2.42,0.48,0.0
P,60-69,C_L3,142,142,0,0,0,100.0,0.0,0.0,0.0
P,60-69,C_base,142,142,0,0,0,100.0,0.0,0.0,0.0
P,60-69,C_bns,142,137,5,0,0,96.48,3.52,0.0,0.0
P,60-69,C_pv,142,141,0,1,0,99.3,0.0,0.7,0.0
P,60-69,C_full,142,139,3,0,0,97.89,2.11,0.0,0.0
P,70+,C_L3,101,101,0,0,0,100.0,0.0,0.0,0.0
P,70+,C_base,101,100,1,0,0,99.01,0.99,0.0,0.0
P,70+,C_bns,101,98,2,1,0,97.03,1.98,0.99,0.0
P,70+,C_pv,101,101,0,0,0,100.0,0.0,0.0,0.0
P,70+,C_full,101,98,2,1,0,97.03,1.98,0.99,0.0
