cell,orient,n_total,이재명_n,김문수_n,이준석_n,abstain_n,이재명_pct,김문수_pct,이준석_pct,abstain_pct
C_L3,VP,224,224,0,0,0,100.0,0.0,0.0,0.0
C_L3,P,1076,1076,0,0,0,100.0,0.0,0.0,0.0
C_L3,M,2400,2400,0,0,0,100.0,0.0,0.0,0.0
C_L3,C,1000,997,3,0,0,99.7,0.3,0.0,0.0
C_L3,VC,300,300,0,0,0,100.0,0.0,0.0,0.0
C_base,VP,224,224,0,0,0,100.0,0.0,0.0,0.0
C_base,P,1076,1068,4,4,0,99.26,0.37,0.37,0.0
C_base,M,2400,2064,276,60,0,86.0,11.5,2.5,0.0
C_base,C,1000,61,835,104,0,6.1,83.5,10.4,0.0
C_base,VC,300,1,291,8,0,0.33,97.0,2.67,0.0
C_bns,VP,224,219,5,0,0,97.77,2.23,0.0,0.0
C_bns,P,1076,1047,25,4,0,97.3,2.32,0.37,0.0
C_bns,M,2400,1836,495,66,3,76.5,20.62,2.75,0.12
C_bns,C,1000,101,833,66,0,10.1,83.3,6.6,0.0
C_bns,VC,300,1,298,1,0,0.33,99.33,0.33,0.0
C_pv,VP,224,224,0,0,0,100.0,0.0,0.0,0.0
C_pv,P,1076,1068,4,4,0,99.26,0.37,0.37,0.0
C_pv,M,2400,2030,309,60,1,84.58,12.88,2.5,0.04
C_pv,C,1000,66,827,107,0,6.6,82.7,10.7,0.0
C_pv,VC,300,0,291,9,0,0.0,97.0,3.0,0.0
C_full,VP,224,220,3,1,0,98.21,1.34,0.45,0.0
C_full,P,1076,1055,15,5,1,98.05,1.39,0.46,0.09
C_full,M,2400,1815,519,62,4,75.62,21.62,2.58,0.17
C_full,C,1000,99,832,69,0,9.9,83.2,6.9,0.0
C_full,VC,300,1,294,5,0,0.33,98.0,1.67,0.0
