sido,n,nec_이재명,nec_김문수,nec_이준석,C_L3_이재명,C_L3_김문수,C_L3_이준석,C_L3_mae,C_base_이재명,C_base_김문수,C_base_이준석,C_base_mae,C_bns_이재명,C_bns_김문수,C_bns_이준석,C_bns_mae,C_pv_이재명,C_pv_김문수,C_pv_이준석,C_pv_mae,C_full_이재명,C_full_김문수,C_full_이준석,C_full_mae
강원,141,43.96,47.31,7.7,100.0,0.0,0.0,37.02,74.47,24.11,1.42,20.0,70.21,27.66,2.13,17.16,75.89,23.4,0.71,20.94,70.92,25.53,3.55,17.63
경기,1308,52.21,37.95,8.84,100.0,0.0,0.0,31.53,69.42,28.13,2.45,11.14,65.49,32.13,2.37,8.52,68.32,28.92,2.75,10.41,64.5,33.28,2.22,7.86
경상남,312,39.4,51.99,7.47,100.0,0.0,0.0,40.02,60.58,35.58,3.85,13.74,57.37,39.1,3.53,11.6,61.54,33.33,5.13,14.38,57.42,40.0,2.58,11.63
경상북,270,25.53,66.87,6.7,100.0,0.0,0.0,49.35,57.41,38.15,4.44,20.95,56.67,41.11,2.22,20.46,57.78,38.52,3.7,21.2,52.79,44.24,2.97,17.87
광주,127,84.77,8.02,6.23,100.0,0.0,0.0,9.83,79.53,14.96,5.51,4.3,78.74,18.9,2.36,6.93,77.17,17.32,5.51,5.88,79.53,19.69,0.79,7.45
대구,223,23.23,67.63,8.29,99.1,0.9,0.0,50.3,61.88,32.74,5.38,25.49,60.54,34.98,4.48,24.59,58.74,34.98,6.28,23.39,57.4,39.91,2.69,22.5
대전,140,48.51,40.59,9.77,100.0,0.0,0.0,33.95,67.14,28.57,4.29,12.05,60.71,36.43,2.86,7.76,71.43,22.14,6.43,14.9,65.71,28.57,5.71,11.09
부산,348,40.14,51.4,7.55,100.0,0.0,0.0,39.6,62.93,32.47,4.6,14.89,58.62,37.64,3.74,12.02,62.64,33.33,4.02,14.7,60.63,36.49,2.87,13.36
서울,942,47.13,41.56,9.95,100.0,0.0,0.0,34.79,71.23,25.27,3.5,15.61,66.06,32.34,1.6,12.17,70.38,27.07,2.55,15.05,64.33,32.59,3.08,11.01
세종,34,55.63,33.22,9.89,100.0,0.0,0.0,29.16,70.59,20.59,8.82,9.55,79.41,17.65,2.94,15.43,70.59,26.47,2.94,9.55,76.47,14.71,8.82,13.47
울산,80,42.54,47.57,8.51,100.0,0.0,0.0,37.85,65.0,27.5,7.5,14.51,56.25,35.0,8.75,8.84,60.0,30.0,10.0,12.17,61.25,35.0,3.75,12.01
인천,305,51.68,38.45,8.75,99.67,0.33,0.0,31.62,69.84,27.21,2.95,11.73,62.95,35.41,1.64,7.14,69.84,27.21,2.95,11.73,66.45,31.25,2.3,9.47
전라남,172,85.87,8.54,4.7,100.0,0.0,0.0,9.12,77.33,20.93,1.74,7.96,76.16,20.93,2.91,7.96,78.49,20.93,0.58,7.96,72.09,27.33,0.58,12.23
전북,179,82.65,10.9,5.49,100.0,0.0,0.0,11.25,81.01,16.2,2.79,3.21,73.18,23.46,3.35,8.06,78.77,17.32,3.91,3.96,78.21,17.88,3.91,4.33
제주,66,54.77,34.79,8.84,100.0,0.0,0.0,29.62,77.27,21.21,1.52,14.47,68.18,31.82,0.0,8.41,78.79,18.18,3.03,15.48,68.18,27.27,4.55,8.41
충청남,200,47.68,43.27,8.01,100.0,0.0,0.0,34.53,61.0,32.5,6.5,8.53,56.0,38.5,5.5,5.2,59.5,33.5,7.0,7.53,58.0,38.0,4.0,6.53
충청북,153,47.47,43.22,8.23,100.0,0.0,0.0,34.66,64.05,33.33,2.61,10.69,58.17,37.91,3.92,6.77,64.05,31.37,4.58,10.69,56.86,39.22,3.92,5.9
